name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
ALBERTVILLE CITY,Alabama,43875,5380,25102,13393,43121
MARSHALL COUNTY,Alabama,55299,7152,34055,14092,54005
HOOVER CITY,Alabama,162705,5936,68667,88102,168763
MADISON CITY,Alabama,100874,4509,53164,43201,104829
LEEDS CITY,Alabama,18899,1525,9914,7460,17957
BOAZ CITY,Alabama,22093,2186,12816,7091,23671
TRUSSVILLE CITY,Alabama,40690,967,21928,17795,56547
ALEXANDER CITY,Alabama,29395,3100,16783,9512,27996
ANDALUSIA CITY,Alabama,19998,2194,9311,8493,20389
ANNISTON CITY,Alabama,22930,4317,10815,7798,25364
ARAB CITY,Alabama,22589,1436,14382,6771,23829
ATHENS CITY,Alabama,37644,2802,17043,17799,36879
ATTALLA CITY,Alabama,15802,2018,10866,2918,15576
SARALAND CITY,Alabama,24980,2008,13358,9614,26454
CHICKASAW CITY,Alabama,8393,1629,4792,1972,7864
SATSUMA CITY,Alabama,13113,982,8031,4100,12532
ALABASTER CITY,Alabama,64090,3495,33981,26614,63870
PELHAM CITY,Alabama,42443,162,9,42272,7396
AUBURN CITY,Alabama,80916,4135,36328,40453,72660
AUTAUGA COUNTY,Alabama,78492,7109,52944,18439,74619
BALDWIN COUNTY,Alabama,312094,23952,134856,153286,295946
BARBOUR COUNTY,Alabama,10906,2628,5804,2474,10756
BESSEMER CITY,Alabama,42441,7946,22190,12305,43924
BIBB COUNTY,Alabama,31253,3438,21566,6249,30879
BIRMINGHAM CITY,Alabama,272987,41271,126425,105291,288393
BLOUNT COUNTY,Alabama,69353,6852,48997,13504,68994
BREWTON CITY,Alabama,12017,1042,6614,4361,16794
BULLOCK COUNTY,Alabama,17069,4882,9346,2841,17339
BUTLER COUNTY,Alabama,32324,6658,18603,7063,31482
CALHOUN COUNTY,Alabama,84620,8159,53223,23238,82624
CHAMBERS COUNTY,Alabama,36194,5301,22142,8751,38289
CHEROKEE COUNTY,Alabama,40983,4709,24527,11747,38845
CHILTON COUNTY,Alabama,65158,7999,43564,13595,62936
CHOCTAW COUNTY,Alabama,18984,2217,9504,7263,16736
CLARKE COUNTY,Alabama,29033,4356,17966,6711,30401
CLAY COUNTY,Alabama,18674,2120,12963,3591,18700
CLEBURNE COUNTY,Alabama,24279,2508,16888,4883,24868
COFFEE COUNTY,Alabama,19777,2767,12246,4764,22151
COLBERT COUNTY,Alabama,27284,3216,13938,10130,29207
CONECUH COUNTY,Alabama,21061,2802,9816,8443,19275
COOSA COUNTY,Alabama,11110,1767,6473,2870,11094
COVINGTON COUNTY,Alabama,30125,3814,18465,7846,28952
CRENSHAW COUNTY,Alabama,20326,2527,12728,5071,20913
CULLMAN CITY,Alabama,29072,2922,14168,11982,45869
CULLMAN COUNTY,Alabama,91163,8502,58691,23970,88055
DALE COUNTY,Alabama,27411,2490,18059,6862,26567
DALEVILLE CITY,Alabama,10920,1757,6894,2269,11686
